Date,Year,Month,Day,Flow
1980-06-15,1980,6,15,0.61
1980-06-16,1980,6,16,0.2
1980-06-17,1980,6,17,0.3
1980-06-18,1980,6,18,0.16
1980-06-19,1980,6,19,0.3
1980-06-20,1980,6,20,0.13
1980-06-21,1980,6,21,0.23
1980-06-22,1980,6,22,0.15
1980-06-23,1980,6,23,0.14
1980-06-24,1980,6,24,0.34
1980-06-25,1980,6,25,0.17
1980-06-26,1980,6,26,0.3
1980-06-27,1980,6,27,0.16
1980-06-28,1980,6,28,0.23
1980-06-29,1980,6,29,0.22
1980-06-30,1980,6,30,0.34
1980-07-01,1980,7,1,0.04
1980-07-02,1980,7,2,0.07
1980-07-03,1980,7,3,0.07
1980-07-04,1980,7,4,0.12
1980-07-05,1980,7,5,0.02
1980-07-06,1980,7,6,0.11
1980-07-07,1980,7,7,0.09
1980-07-08,1980,7,8,0
1980-07-09,1980,7,9,0
1980-07-10,1980,7,10,0
1980-07-11,1980,7,11,0
1980-07-12,1980,7,12,0
1980-07-13,1980,7,13,0
1980-07-14,1980,7,14,0
1980-07-15,1980,7,15,0
1980-07-16,1980,7,16,0
1980-07-17,1980,7,17,0
1980-07-18,1980,7,18,0
1980-07-19,1980,7,19,0
1980-07-20,1980,7,20,0
1980-07-21,1980,7,21,0
1980-07-22,1980,7,22,0
1980-07-23,1980,7,23,0
1980-07-24,1980,7,24,0
1980-07-25,1980,7,25,0
1980-07-26,1980,7,26,0
1980-07-27,1980,7,27,0
1980-07-28,1980,7,28,0
1980-07-29,1980,7,29,0
1980-07-30,1980,7,30,0
1980-07-31,1980,7,31,0
1980-08-01,1980,8,1,0
1980-08-02,1980,8,2,0
1980-08-03,1980,8,3,0
1980-08-04,1980,8,4,0
1980-08-05,1980,8,5,0
1980-08-06,1980,8,6,0
1980-08-07,1980,8,7,0
1980-08-08,1980,8,8,0
1980-08-09,1980,8,9,0
1980-08-10,1980,8,10,0
1980-08-11,1980,8,11,0
1980-08-12,1980,8,12,0
1980-08-13,1980,8,13,0
1980-08-14,1980,8,14,0
1980-08-15,1980,8,15,0
1980-08-16,1980,8,16,0
1980-08-17,1980,8,17,0
1980-08-18,1980,8,18,0
1980-08-19,1980,8,19,0
1980-08-20,1980,8,20,0
1980-08-21,1980,8,21,0
1980-08-22,1980,8,22,0
1980-08-23,1980,8,23,0
1980-08-24,1980,8,24,0
1980-08-25,1980,8,25,0
1980-08-26,1980,8,26,0
1980-08-27,1980,8,27,0
1980-08-28,1980,8,28,0
1980-08-29,1980,8,29,0
1980-08-30,1980,8,30,0
1980-08-31,1980,8,31,0
1980-09-01,1980,9,1,0
1980-09-02,1980,9,2,0
1980-09-03,1980,9,3,0
1980-09-04,1980,9,4,0
1980-09-05,1980,9,5,0
1980-09-06,1980,9,6,0
1980-09-07,1980,9,7,0
1980-09-08,1980,9,8,0
1980-09-09,1980,9,9,0
1980-09-10,1980,9,10,0
1980-09-11,1980,9,11,0
1980-09-12,1980,9,12,0
1980-09-13,1980,9,13,0
1980-09-14,1980,9,14,0
1980-09-15,1980,9,15,0
1980-09-16,1980,9,16,0
1980-09-17,1980,9,17,0
1980-09-18,1980,9,18,0
1980-09-19,1980,9,19,0
1980-09-20,1980,9,20,0
1980-09-21,1980,9,21,0
1980-09-22,1980,9,22,0
1980-09-23,1980,9,23,0
1980-09-24,1980,9,24,0
1980-09-25,1980,9,25,0
1980-09-26,1980,9,26,0
1980-09-27,1980,9,27,0
1980-09-28,1980,9,28,0
1980-09-29,1980,9,29,0
1980-09-30,1980,9,30,0
1980-10-01,1980,10,1,0
1980-10-02,1980,10,2,0
1980-10-03,1980,10,3,0
1980-10-04,1980,10,4,0
1980-10-05,1980,10,5,0
1980-10-06,1980,10,6,0
1980-10-07,1980,10,7,0
1980-10-08,1980,10,8,0
1980-10-09,1980,10,9,0
1980-10-10,1980,10,10,0
1980-10-11,1980,10,11,0
1980-10-12,1980,10,12,0
1980-10-13,1980,10,13,0
1980-10-14,1980,10,14,0
1980-10-15,1980,10,15,0
1980-10-16,1980,10,16,0
1980-10-17,1980,10,17,0
1980-10-18,1980,10,18,0
1980-10-19,1980,10,19,0
1980-10-20,1980,10,20,0
1980-10-21,1980,10,21,0
1980-10-22,1980,10,22,0
1980-10-23,1980,10,23,0
1980-10-24,1980,10,24,0
1980-10-25,1980,10,25,0
1980-10-26,1980,10,26,0
1980-10-27,1980,10,27,0
1980-10-28,1980,10,28,0
1980-10-29,1980,10,29,0
1980-10-30,1980,10,30,0
1980-10-31,1980,10,31,0
1980-11-01,1980,11,1,0
1980-11-02,1980,11,2,0
1980-11-03,1980,11,3,0
1980-11-04,1980,11,4,0
1980-11-05,1980,11,5,0
1980-11-06,1980,11,6,0
1980-11-07,1980,11,7,0
1980-11-08,1980,11,8,0
1980-11-09,1980,11,9,0
1980-11-10,1980,11,10,0
1980-11-11,1980,11,11,0
1980-11-12,1980,11,12,0
1980-11-13,1980,11,13,0
1980-11-14,1980,11,14,0
1980-11-15,1980,11,15,0
1980-11-16,1980,11,16,0
1980-11-17,1980,11,17,0
1980-11-18,1980,11,18,0
1980-11-19,1980,11,19,0
1980-11-20,1980,11,20,0
1980-11-21,1980,11,21,0
1980-11-22,1980,11,22,0
1980-11-23,1980,11,23,0
1980-11-24,1980,11,24,0
1980-11-25,1980,11,25,0
1980-11-26,1980,11,26,0
1980-11-27,1980,11,27,0
1980-11-28,1980,11,28,0
1980-11-29,1980,11,29,0
1980-11-30,1980,11,30,0
1980-12-01,1980,12,1,0
1980-12-02,1980,12,2,0
1980-12-03,1980,12,3,0
1980-12-04,1980,12,4,0
1980-12-05,1980,12,5,0
1980-12-06,1980,12,6,0
1980-12-07,1980,12,7,0
1980-12-08,1980,12,8,0
1980-12-09,1980,12,9,0
1980-12-10,1980,12,10,0
1980-12-11,1980,12,11,0
1980-12-12,1980,12,12,0
1980-12-13,1980,12,13,0
1980-12-14,1980,12,14,0
1980-12-15,1980,12,15,0
1980-12-16,1980,12,16,0
1980-12-17,1980,12,17,0
1980-12-18,1980,12,18,0
1980-12-19,1980,12,19,0
1980-12-20,1980,12,20,0
1980-12-21,1980,12,21,0
1980-12-22,1980,12,22,0
1980-12-23,1980,12,23,0
1980-12-24,1980,12,24,0
1980-12-25,1980,12,25,0
1980-12-26,1980,12,26,0
1980-12-27,1980,12,27,0
1980-12-28,1980,12,28,0
1980-12-29,1980,12,29,0
1980-12-30,1980,12,30,0
1980-12-31,1980,12,31,0
1981-01-01,1981,1,1,0
1981-01-02,1981,1,2,0
1981-01-03,1981,1,3,0
1981-01-04,1981,1,4,0
1981-01-05,1981,1,5,0
1981-01-06,1981,1,6,0
1981-01-07,1981,1,7,0
1981-01-08,1981,1,8,0
1981-01-09,1981,1,9,0
1981-01-10,1981,1,10,0
1981-01-11,1981,1,11,0
1981-01-12,1981,1,12,0
1981-01-13,1981,1,13,0
1981-01-14,1981,1,14,0
1981-01-15,1981,1,15,0
1981-01-16,1981,1,16,0
1981-01-17,1981,1,17,0
1981-01-18,1981,1,18,0
1981-01-19,1981,1,19,0
1981-01-20,1981,1,20,0
1981-01-21,1981,1,21,0
1981-01-22,1981,1,22,0
1981-01-23,1981,1,23,0
1981-01-24,1981,1,24,0
1981-01-25,1981,1,25,0
1981-01-26,1981,1,26,0
1981-01-27,1981,1,27,0
1981-01-28,1981,1,28,0
1981-01-29,1981,1,29,0
1981-01-30,1981,1,30,0
1981-01-31,1981,1,31,0
1981-02-01,1981,2,1,0
1981-02-02,1981,2,2,0
1981-02-03,1981,2,3,0
1981-02-04,1981,2,4,0
1981-02-05,1981,2,5,0
1981-02-06,1981,2,6,0
1981-02-07,1981,2,7,0
1981-02-08,1981,2,8,0
1981-02-09,1981,2,9,0
1981-02-10,1981,2,10,0
1981-02-11,1981,2,11,0
1981-02-12,1981,2,12,0
1981-02-13,1981,2,13,0
1981-02-14,1981,2,14,0
1981-02-15,1981,2,15,0
1981-02-16,1981,2,16,0
1981-02-17,1981,2,17,34.58
1981-02-18,1981,2,18,32.27
1981-02-19,1981,2,19,16.6
1981-02-20,1981,2,20,12.22
1981-02-21,1981,2,21,7.38
1981-02-22,1981,2,22,4.15
1981-02-23,1981,2,23,3.46
1981-02-24,1981,2,24,3.69
1981-02-25,1981,2,25,4.84
1981-02-26,1981,2,26,2.26
1981-02-27,1981,2,27,0.76
1981-02-28,1981,2,28,0.67
1981-03-01,1981,3,1,11.39
1981-03-02,1981,3,2,8.71
1981-03-03,1981,3,3,8.71
1981-03-04,1981,3,4,8.71
1981-03-05,1981,3,5,8.71
1981-03-06,1981,3,6,6.7
1981-03-07,1981,3,7,5.36
1981-03-08,1981,3,8,4.02
1981-03-09,1981,3,9,2.68
1981-03-10,1981,3,10,1.34
1981-03-11,1981,3,11,0
1981-03-12,1981,3,12,0
1981-03-13,1981,3,13,0
1981-03-14,1981,3,14,0
1981-03-15,1981,3,15,0
1981-03-16,1981,3,16,0
1981-03-17,1981,3,17,0
1981-03-18,1981,3,18,0
1981-03-19,1981,3,19,0
1981-03-20,1981,3,20,0
1981-03-21,1981,3,21,0
1981-03-22,1981,3,22,0
1981-03-23,1981,3,23,0
1981-03-24,1981,3,24,0
1981-03-25,1981,3,25,0
1981-03-26,1981,3,26,0
1981-03-27,1981,3,27,0
1981-03-28,1981,3,28,0
1981-03-29,1981,3,29,0
1981-03-30,1981,3,30,0
1981-03-31,1981,3,31,0
1981-04-01,1981,4,1,0
1981-04-02,1981,4,2,0
1981-04-03,1981,4,3,0
1981-04-04,1981,4,4,0
1981-04-05,1981,4,5,0.01
1981-04-06,1981,4,6,0.01
1981-04-07,1981,4,7,0
1981-04-08,1981,4,8,0
1981-04-09,1981,4,9,0.01
1981-04-10,1981,4,10,0.01
1981-04-11,1981,4,11,0
1981-04-12,1981,4,12,0
1981-04-13,1981,4,13,0
1981-04-14,1981,4,14,0
1981-04-15,1981,4,15,0.01
1981-04-16,1981,4,16,0.02
1981-04-17,1981,4,17,0.01
1981-04-18,1981,4,18,0.01
1981-04-19,1981,4,19,0.02
1981-04-20,1981,4,20,0.03
1981-04-21,1981,4,21,0.05
1981-04-22,1981,4,22,0.06
1981-04-23,1981,4,23,0.06
1981-04-24,1981,4,24,0.07
1981-04-25,1981,4,25,0.06
1981-04-26,1981,4,26,0.03
1981-04-27,1981,4,27,0.04
1981-04-28,1981,4,28,0.08
1981-04-29,1981,4,29,0.12
1981-04-30,1981,4,30,0.12
1981-05-01,1981,5,1,0.28
1981-05-02,1981,5,2,0.31
1981-05-03,1981,5,3,0.25
1981-05-04,1981,5,4,0.18
1981-05-05,1981,5,5,0.45
1981-05-06,1981,5,6,0.38
1981-05-07,1981,5,7,0.22
1981-05-08,1981,5,8,0.24
1981-05-09,1981,5,9,0.28
1981-05-10,1981,5,10,0.28
1981-05-11,1981,5,11,0.26
1981-05-12,1981,5,12,0.29
1981-05-13,1981,5,13,0.25
1981-05-14,1981,5,14,0.44
1981-05-15,1981,5,15,0.39
1981-05-16,1981,5,16,0.28
1981-05-17,1981,5,17,0.23
1981-05-18,1981,5,18,0.51
1981-05-19,1981,5,19,0.54
1981-05-20,1981,5,20,0.42
1981-05-21,1981,5,21,0.49
1981-05-22,1981,5,22,0.41
1981-05-23,1981,5,23,0.41
1981-05-24,1981,5,24,0.44
1981-05-25,1981,5,25,0.43
1981-05-26,1981,5,26,0.34
1981-05-27,1981,5,27,0.38
1981-05-28,1981,5,28,0.38
1981-05-29,1981,5,29,0.43
1981-05-30,1981,5,30,0.39
1981-05-31,1981,5,31,0.27
1981-06-01,1981,6,1,2.91
1981-06-02,1981,6,2,1.36
1981-06-03,1981,6,3,12.01
1981-06-04,1981,6,4,250.34
1981-06-05,1981,6,5,117.22
1981-06-06,1981,6,6,50.46
1981-06-07,1981,6,7,28.03
1981-06-08,1981,6,8,12.9
1981-06-09,1981,6,9,5.82
1981-06-10,1981,6,10,2.46
1981-06-11,1981,6,11,0.92
1981-06-12,1981,6,12,0.59
1981-06-13,1981,6,13,0.48
1981-06-14,1981,6,14,0.36
1981-06-15,1981,6,15,0.58
1981-06-16,1981,6,16,0.32
1981-06-17,1981,6,17,0.45
1981-06-18,1981,6,18,3.28
1981-06-19,1981,6,19,2.3
1981-06-20,1981,6,20,2.07
1981-06-21,1981,6,21,2.98
1981-06-22,1981,6,22,1.26
1981-06-23,1981,6,23,1.98
1981-06-24,1981,6,24,1.12
1981-06-25,1981,6,25,0.54
1981-06-26,1981,6,26,0.56
1981-06-27,1981,6,27,0.46
1981-06-28,1981,6,28,0.16
1981-06-29,1981,6,29,0.31
1981-06-30,1981,6,30,0.36
1981-07-01,1981,7,1,0.06
1981-07-02,1981,7,2,0.11
1981-07-03,1981,7,3,0.12
1981-07-04,1981,7,4,0.16
1981-07-05,1981,7,5,0.16
1981-07-06,1981,7,6,0.06
1981-07-07,1981,7,7,0.03
1981-07-08,1981,7,8,0
1981-07-09,1981,7,9,0
1981-07-10,1981,7,10,0
1981-07-11,1981,7,11,0
1981-07-12,1981,7,12,0
1981-07-13,1981,7,13,0
1981-07-14,1981,7,14,0
1981-07-15,1981,7,15,4.63
1981-07-16,1981,7,16,37.71
1981-07-17,1981,7,17,13
1981-07-18,1981,7,18,3.91
1981-07-19,1981,7,19,1.15
1981-07-20,1981,7,20,0.52
1981-07-21,1981,7,21,0.42
1981-07-22,1981,7,22,0.03
1981-07-23,1981,7,23,0
1981-07-24,1981,7,24,0
1981-07-25,1981,7,25,0
1981-07-26,1981,7,26,0
1981-07-27,1981,7,27,0
1981-07-28,1981,7,28,0
1981-07-29,1981,7,29,0
1981-07-30,1981,7,30,0
1981-07-31,1981,7,31,0
1981-08-01,1981,8,1,0
1981-08-02,1981,8,2,0
1981-08-03,1981,8,3,0
1981-08-04,1981,8,4,0
1981-08-05,1981,8,5,0
1981-08-06,1981,8,6,0
1981-08-07,1981,8,7,0
1981-08-08,1981,8,8,0
1981-08-09,1981,8,9,0
1981-08-10,1981,8,10,0
1981-08-11,1981,8,11,0
1981-08-12,1981,8,12,0
1981-08-13,1981,8,13,0
1981-08-14,1981,8,14,0
1981-08-15,1981,8,15,0
1981-08-16,1981,8,16,0
1981-08-17,1981,8,17,0
1981-08-18,1981,8,18,0
1981-08-19,1981,8,19,0
1981-08-20,1981,8,20,0
1981-08-21,1981,8,21,0
1981-08-22,1981,8,22,0
1981-08-23,1981,8,23,0
1981-08-24,1981,8,24,0
1981-08-25,1981,8,25,0
1981-08-26,1981,8,26,0
1981-08-27,1981,8,27,0
1981-08-28,1981,8,28,0
1981-08-29,1981,8,29,0
1981-08-30,1981,8,30,0
1981-08-31,1981,8,31,0
1981-09-01,1981,9,1,0
1981-09-02,1981,9,2,0
1981-09-03,1981,9,3,0
1981-09-04,1981,9,4,0
1981-09-05,1981,9,5,0
1981-09-06,1981,9,6,0
1981-09-07,1981,9,7,0
1981-09-08,1981,9,8,0
1981-09-09,1981,9,9,0
1981-09-10,1981,9,10,0
1981-09-11,1981,9,11,0
1981-09-12,1981,9,12,0
1981-09-13,1981,9,13,0
1981-09-14,1981,9,14,0
1981-09-15,1981,9,15,0
1981-09-16,1981,9,16,0
1981-09-17,1981,9,17,0
1981-09-18,1981,9,18,0
1981-09-19,1981,9,19,0
1981-09-20,1981,9,20,0
1981-09-21,1981,9,21,0
1981-09-22,1981,9,22,0
1981-09-23,1981,9,23,0
1981-09-24,1981,9,24,0
1981-09-25,1981,9,25,0
1981-09-26,1981,9,26,0
1981-09-27,1981,9,27,0
1981-09-28,1981,9,28,0
1981-09-29,1981,9,29,0
1981-09-30,1981,9,30,0
1981-10-01,1981,10,1,2.22
1981-10-02,1981,10,2,2.22
1981-10-03,1981,10,3,2.22
1981-10-04,1981,10,4,2.22
1981-10-05,1981,10,5,2.22
1981-10-06,1981,10,6,2.23
1981-10-07,1981,10,7,2.23
1981-10-08,1981,10,8,2.23
1981-10-09,1981,10,9,2.23
1981-10-10,1981,10,10,2.23
1981-10-11,1981,10,11,2.23
1981-10-12,1981,10,12,2.98
1981-10-13,1981,10,13,2.98
1981-10-14,1981,10,14,2.98
1981-10-15,1981,10,15,2.98
1981-10-16,1981,10,16,2.98
1981-10-17,1981,10,17,2.98
1981-10-18,1981,10,18,3.73
1981-10-19,1981,10,19,14.08
1981-10-20,1981,10,20,13.03
1981-10-21,1981,10,21,6.88
1981-10-22,1981,10,22,3.88
1981-10-23,1981,10,23,3.28
1981-10-24,1981,10,24,2.68
1981-10-25,1981,10,25,2.83
1981-10-26,1981,10,26,2.38
1981-10-27,1981,10,27,1.93
1981-10-28,1981,10,28,2.68
1981-10-29,1981,10,29,2.68
1981-10-30,1981,10,30,2.83
1981-10-31,1981,10,31,2.08
1981-11-01,1981,11,1,1.93
1981-11-02,1981,11,2,2.08
1981-11-03,1981,11,3,1.93
1981-11-04,1981,11,4,1.64
1981-11-05,1981,11,5,1.43
1981-11-06,1981,11,6,1.43
1981-11-07,1981,11,7,1.64
1981-11-08,1981,11,8,1.43
1981-11-09,1981,11,9,1.43
1981-11-10,1981,11,10,1.64
1981-11-11,1981,11,11,1.94
1981-11-12,1981,11,12,2.39
1981-11-13,1981,11,13,2.39
1981-11-14,1981,11,14,2.69
1981-11-15,1981,11,15,2.69
1981-11-16,1981,11,16,2.39
1981-11-17,1981,11,17,2.69
1981-11-18,1981,11,18,2.69
1981-11-19,1981,11,19,2.39
1981-11-20,1981,11,20,1.49
1981-11-21,1981,11,21,2.09
1981-11-22,1981,11,22,3.14
1981-11-23,1981,11,23,3.29
1981-11-24,1981,11,24,2.84
1981-11-25,1981,11,25,2.69
1981-11-26,1981,11,26,1.94
1981-11-27,1981,11,27,1.79
1981-11-28,1981,11,28,1.49
1981-11-29,1981,11,29,1.19
1981-11-30,1981,11,30,2.39
1981-12-01,1981,12,1,1.94
1981-12-02,1981,12,2,3.14
1981-12-03,1981,12,3,2.09
1981-12-04,1981,12,4,2.24
1981-12-05,1981,12,5,2.69
1981-12-06,1981,12,6,3.59
1981-12-07,1981,12,7,2.99
1981-12-08,1981,12,8,2.69
1981-12-09,1981,12,9,2.69
1981-12-10,1981,12,10,2.84
1981-12-11,1981,12,11,2.39
1981-12-12,1981,12,12,2.09
1981-12-13,1981,12,13,1.19
1981-12-14,1981,12,14,0.59
1981-12-15,1981,12,15,0.29
1981-12-16,1981,12,16,0.44
1981-12-17,1981,12,17,0.59
1981-12-18,1981,12,18,0.89
1981-12-19,1981,12,19,1.49
1981-12-20,1981,12,20,2.24
1981-12-21,1981,12,21,1.79
1981-12-22,1981,12,22,1.34
1981-12-23,1981,12,23,0.89
1981-12-24,1981,12,24,1.34
1981-12-25,1981,12,25,1.49
1981-12-26,1981,12,26,1.19
1981-12-27,1981,12,27,0.89
1981-12-28,1981,12,28,0.59
1981-12-29,1981,12,29,0.44
1981-12-30,1981,12,30,0.29
1981-12-31,1981,12,31,0.14
1982-01-01,1982,1,1,0
1982-01-02,1982,1,2,0
1982-01-03,1982,1,3,0
1982-01-04,1982,1,4,0
1982-01-05,1982,1,5,0
1982-01-06,1982,1,6,0
1982-01-07,1982,1,7,0
1982-01-08,1982,1,8,0
1982-01-09,1982,1,9,0
1982-01-10,1982,1,10,0
1982-01-11,1982,1,11,0
1982-01-12,1982,1,12,0
1982-01-13,1982,1,13,0
1982-01-14,1982,1,14,0
1982-01-15,1982,1,15,0
1982-01-16,1982,1,16,0
1982-01-17,1982,1,17,0
1982-01-18,1982,1,18,0
1982-01-19,1982,1,19,0
1982-01-20,1982,1,20,0
1982-01-21,1982,1,21,0
1982-01-22,1982,1,22,0
1982-01-23,1982,1,23,0
1982-01-24,1982,1,24,0
1982-01-25,1982,1,25,0.3
1982-01-26,1982,1,26,0.75
1982-01-27,1982,1,27,0.15
1982-01-28,1982,1,28,0
1982-01-29,1982,1,29,0
1982-01-30,1982,1,30,0
1982-01-31,1982,1,31,0
1982-02-01,1982,2,1,0
1982-02-02,1982,2,2,0
1982-02-03,1982,2,3,0
1982-02-04,1982,2,4,0
1982-02-05,1982,2,5,0
1982-02-06,1982,2,6,0
1982-02-07,1982,2,7,0
1982-02-08,1982,2,8,0
1982-02-09,1982,2,9,0
1982-02-10,1982,2,10,0
1982-02-11,1982,2,11,0
1982-02-12,1982,2,12,0
1982-02-13,1982,2,13,0
1982-02-14,1982,2,14,3
1982-02-15,1982,2,15,7.5
1982-02-16,1982,2,16,15
1982-02-17,1982,2,17,30
1982-02-18,1982,2,18,225
1982-02-19,1982,2,19,675
1982-02-20,1982,2,20,750
1982-02-21,1982,2,21,375
1982-02-22,1982,2,22,150
1982-02-23,1982,2,23,75
1982-02-24,1982,2,24,37.5
1982-02-25,1982,2,25,22.5
1982-02-26,1982,2,26,16.5
1982-02-27,1982,2,27,15
1982-02-28,1982,2,28,13.5
1982-03-01,1982,3,1,12.75
1982-03-02,1982,3,2,12
1982-03-03,1982,3,3,10.5
1982-03-04,1982,3,4,9
1982-03-05,1982,3,5,7.5
1982-03-06,1982,3,6,8.25
1982-03-07,1982,3,7,9.75
1982-03-08,1982,3,8,9
1982-03-09,1982,3,9,10.5
1982-03-10,1982,3,10,15
1982-03-11,1982,3,11,75
1982-03-12,1982,3,12,225
1982-03-13,1982,3,13,375
1982-03-14,1982,3,14,450
1982-03-15,1982,3,15,300
1982-03-16,1982,3,16,330
1982-03-17,1982,3,17,300
1982-03-18,1982,3,18,202.5
1982-03-19,1982,3,19,150
1982-03-20,1982,3,20,135
1982-03-21,1982,3,21,112.5
1982-03-22,1982,3,22,127.5
1982-03-23,1982,3,23,195
1982-03-24,1982,3,24,165
1982-03-25,1982,3,25,142.5
1982-03-26,1982,3,26,165
1982-03-27,1982,3,27,225
1982-03-28,1982,3,28,271.5
1982-03-29,1982,3,29,207
1982-03-30,1982,3,30,145.5
1982-03-31,1982,3,31,132
1982-04-01,1982,4,1,103.5
1982-04-02,1982,4,2,81
1982-04-03,1982,4,3,33
1982-04-04,1982,4,4,27
1982-04-05,1982,4,5,28.5
1982-04-06,1982,4,6,31.5
1982-04-07,1982,4,7,30
1982-04-08,1982,4,8,28.5
1982-04-09,1982,4,9,34.5
1982-04-10,1982,4,10,33
1982-04-11,1982,4,11,33
